event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MLI31703,10-Jan-24,2024,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bankass,Soubala,Kenema,13.9375,-3.4411,1,Undisclosed Source,Local partner-Other,"On 10 January 2024, JNIM militants attacked the village of Kenema (Bankass, Mopti). Casualties unknown.",0,,1705371872
MLI31704,10-Jan-24,2024,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bankass,Soubala,Soubala,13.8636,-3.5021,1,Undisclosed Source,Local partner-Other,"On 10 January 2024, JNIM militants attacked the village of Soubala (Bankass, Mopti). Casualties unknown.",0,,1705371872
MLI31705,10-Jan-24,2024,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bankass,Soubala,Dougara,13.9517,-3.4737,1,Undisclosed Source,Local partner-Other,"On 10 January 2024, JNIM militants attacked the village of Dougara (Bankass, Mopti). Casualties unknown.",0,,1705371872
MLI31719,10-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Mopti,Koro,Dougoutene II,Kerou-Dogon,14.0651,-3.4403,1,Studio Tamani,Subnational,"Property destruction: On 10 January 2024, JNIM militants burned sheds and seized livestock in the village of Kerouwa [Kerou-Dogon] (Koro, Mopti).",0,,1705371872
MLI31720,10-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Mopti,Koro,Dougoutene II,Peledourou,13.9399,-3.4301,1,Studio Tamani,Subnational,"Property destruction: On 10 January 2024, JNIM militants burned sheds and seized livestock in the village of Peledourou (Koro, Mopti).",0,,1705371872
MLI31682,09-Jan-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Islamic State (Sahel),,2,Civilians (Ghana),Women (Ghana); Christian Group (Ghana),7,27,Civilian targeting,466,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Fafa,15.3217,0.7464,2,Undisclosed Source,Local partner-Other,"On 9 January 2024, IS Sahel militants abducted a Ghanaian Christian woman after removing her from a bus near Fafa (Ansongo, Gao).",0,,1705371871
MLI31685,09-Jan-24,2024,1,Strategic developments,Strategic developments,Agreement,JNIM: Group for Support of Islam and Muslims,,2,Dozo Communal Militia (Mali),,4,24,,466,Western Africa,Mali,Segou,Macina,Macina,Tielan,13.8949,-5.3179,1,Whatsapp,New media,"On 9 January 2024, JNIM militants and Dozo militia and residents came to an agreement in Tielan (Macina, Segou). The village surrendered 13 weapons, according to a JNIM audio statement.",0,,1705371871
MLI31687,09-Jan-24,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Mopti,Djenne,Derrary,Koina,14.0455,-4.4902,2,aBamako; Mali Jet; Twitter; Undisclosed Source,Local partner-Other,"On 9 January 2024, the Malian air force carried out airstrikes against civilians in the area of Koina (Djenne, Mopti). State media said that the airstrikes killed several militants. Trusted sources said eight civilians were killed including three women and five men from the Bambara community.",8,,1705371871
MLI31689,09-Jan-24,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,,,0,10,,466,Western Africa,Mali,Menaka,Tidermene,Tidermene,Chiman,16.2258,2.0822,1,Undisclosed Source,Local partner-Other,"On 9 January 2024, the Malian air force carried out an airstrike against an unspecified target in Chiman (Tidermene, Menaka).",0,,1705371872
MLI31693,09-Jan-24,2024,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),,1,12,,466,Western Africa,Mali,Tombouctou,Gourma-Rharous,Bambara Maoude,Bambara Maoude,15.851,-2.7861,1,Twitter,New media,"On 9 January 2024, suspected JNIM militants carried out an attack against the FAMa military camp in the town of Bambara Maoude (Gourma-Rharous, Tombouctou). The attack was repelled. Casualties unknown.",0,,1705371872
MLI31702,09-Jan-24,2024,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bandiagara,Bara Sara,Mandoli,14.0615,-3.7861,1,Undisclosed Source,Local partner-Other,"On 9 January 2024, JNIM militants attacked the village of Mandoli (Bandiagara, Mopti). Casualties unknown.",0,,1705371872
MLI31708,09-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Arab Ethnic Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,1,Twitter,New media,"On 9 January 2024, FAMa and Wagner forces killed two Arab civilians and burned vehicles in the town of Goundam (Goundam, Tombouctou). The victims were burned alive.",2,,1705371872
MLI31709,09-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Farmers (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Mopti,Mopti,Bassirou,Sampara,14.703,-4.044,1,Undisclosed Source,Local partner-Other,"On 9 January 2024, a patrol of FAMa forces and Wagner mercenaries shot and injured a farmer in the bush of Sampara (Mopti, Mopti). Two motorcycles were also burned.",0,,1705371872
MLI31713,09-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Refugees/IDPs (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Tombouctou,Ber,Tabagart,16.7811,-2.4471,1,Twitter,New media,"On 9 January 2024, FAMa and Wagner forces burned several IDP encampments in the village of Tabagart (Tombouctou, Tombouctou). Ten people abducted by Wagner mercenaries were reported to have been executed.",10,,1705371872
MLI31717,09-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Gao,Gabero,Tianame,16.0142,0.1253,1,Undisclosed Source,Local partner-Other,"Looting: On 9 January 2024, IS Sahel militants seized livestock in the village of Tianame (Gao, Gao).",0,,1705371872
MLI31721,09-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Labor Group (Mali),7,17,,466,Western Africa,Mali,Gao,Bourem,Tarkint,Almoustarat,17.37,0.09,1,Twitter,New media,"Looting: On 9 January 2024, FAMa forces and Wagner mercenaries broke into a shop and looted goods in Almoustarat (Bourem, Gao).",0,,1705371872
MLI31725,09-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Mopti,Djenne,Derrary,Koroboro,14.0841,-4.479,2,Undisclosed Source,Local partner-Other,"On 9 January 2024, a FAMa and Wagner vehicle struck an IED likely planted by JNIM militants between Koroboro and Koina (Djenne, Mopti). Casualties unknown.",0,,1705371872
MLI31726,09-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,,,0,20,,466,Western Africa,Mali,Tombouctou,Niafunke,Souboundou,Ngouroune,15.9779,-3.9168,1,Essor,National,"On 9 January 2024, JNIM militants destroyed a bridge by setting off explosives in the village of Ngouroune (Niafunke, Tombouctou).",0,,1705371872
MLI31694,08-Jan-24,2024,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),,1,12,,466,Western Africa,Mali,Mopti,Bandiagara,Timiri,Diangassagou,13.9964,-3.9414,1,aBamako; Al Zallaqa; FAMAMali; Le Pays Dogon; Twitter; Undisclosed Source,Local partner-Other,"On 8 January 2024, JNIM militants attacked a FAMa position in the village of Diangassagou (Bandiagara, Mopti). FAMa confirmed the attack without providing any further details. JNIM claimed responsibility, said it killed at least two soldiers, and displayed weapons, ammunition, and vehicles said captured.",2,,1705371872
MLI31695,08-Jan-24,2024,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Police Forces of Mali (2021-) Gendarmerie,,1,12,,466,Western Africa,Mali,Segou,Macina,Sana,Koungodiani,13.8012,-5.0152,1,aBamako; Al Zallaqa; Facebook; Mali Jet; Twitter,New media-National,"On 8 January 2024, JNIM militants ambushed a patrol of Malian gendarmes in the village of Koungodiani (Macina, Segou). Eight gendarmes were killed and six were injured. JNIM claimed responsibility, said it killed at least ten soldiers, burned a vehicle, and displayed weapons, ammo, a vehicle, and equipment said captured.",8,,1705371872
MLI31696,08-Jan-24,2024,1,Strategic developments,Strategic developments,Arrests,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),CRM: Malian Red Cross; Aid Workers (Mali),7,17,,466,Western Africa,Mali,Kidal,Kidal,Kidal,Kidal,18.44,1.41,1,Undisclosed Source,Local partner-Other,"On 8 January 2024, FAMa and Wagner forces arrested three civilians including a driver from the Malian Red Cross in the town of Kidal (Kidal, Kidal).",0,,1705371872
MLI31712,08-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Pastoralists (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Essakane,Karo-Kamba,16.6335,-3.7235,2,Twitter; Undisclosed Source,Local partner-Other,"On 8 January 2024, FAMa forces and Wagner mercenaries killed two civilians, burned several nomad camps, three vehicles, and looted property near Karo-Kamba (Goundam, Tombouctou).",2,,1705371872
MLI31727,08-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Labor Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Gargando,Koygouma,16.557,-4.0333,1,Twitter; Undisclosed Source,Local partner-Other,"On 8 January 2024, three shopkeepers were killed by an explosive device in the village of Koygouma (Goundam, Tombouctou). The explosive device was concealed in goods in a store by a FAMa and Wagner patrol on January 7, 2024. The explosive device detonated when shopkeepers took the goods, killing three of them.",3,,1705371872
MLI31688,07-Jan-24,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,Islamic State (Sahel),,2,12,,466,Western Africa,Mali,Gao,Ansongo,Tessit,Kakou,15.1193,0.112,2,aBamako; FAMAMali; ORTM TV; Undisclosed Source,Local partner-Other,"On 7 January 2024, the Malian air force carried out airstrikes near Kakou (Ansongo, Gao). FAMa stated that the airstrikes killed at least one militant (suspected to be IS Sahel), and destroyed a large logistical stockpile of weapons and ammunition, and the vehicle carrying the materiel.",1,,1705371872
MLI31710,07-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Fatakara Communal Group (Mali); Muslim Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Tele,Fatakara,16.4786,-3.7573,1,Twitter; Undisclosed Source,Local partner-Other,"On 7 January 2024, FAMa forces and Wagner mercenaries killed a civilian and arrested the imam and the village chief in Fatakara (Goundam, Tombouctou).",1,,1705371872
MLI31714,07-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Tombouctou,Goundam,Tele,Alfo,16.6414,-3.7519,2,Undisclosed Source,Local partner-Other,"On 7 January 2024, FAMa forces and Wagner mercenaries killed two civilians near the village of Alfo (Goundam, Tombouctou).",2,,1705371872
MLI31716,07-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),,2,Civilians (Mali),Dawsahak Ethnic Group (Mali); Imghad Ethnic Group (Mali),7,27,,466,Western Africa,Mali,Menaka,Tidermene,Tidermene,Sahene,17.2608,2.9919,1,Undisclosed Source,Local partner-Other,"Property destruction: On 7 January 2024, IS Sahel militants destroyed satellite TV installations and seized livestock belonging to members from the Dawsahak and Imghad communities in the village of Sahene (Tidermene, Menaka).",0,,1705371872
MLI31724,07-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Tombouctou,Goundam,Tele,Alfo,16.6414,-3.7519,2,Al Zallaqa; Undisclosed Source,Local partner-Other,"On 7 January 2024, a FAMa and Wagner convoy struck an IED near the village of Alfo (Goundam, Tombouctou). Casualties unknown. JNIM claimed responsibility and said that preliminary information spoke of wounded in 'enemy ranks'.",0,,1705371872
MLI31684,06-Jan-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Teachers (Mali),7,27,Civilian targeting,466,Western Africa,Mali,Segou,Macina,Macina,Tielan,13.8949,-5.3179,1,Studio Tamani; Undisclosed Source,Local partner-Other,"On 6 January 2024, JNIM militants abducted two teachers in the village of Tielan (Macina, Segou). The abducted were released on 9 January.",0,,1705371871
MLI31699,06-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Dozo Communal Militia (Mali),,4,Civilians (Mali),Kalala Communal Group (Mali); Muslim Group (Mali); Fulani Ethnic Group (Mali); Pastoralists (Mali),7,47,Civilian targeting,466,Western Africa,Mali,Segou,Macina,Sana,Kalala,13.7554,-5.1119,1,Mali Jet; Twitter; Undisclosed Source,Local partner-Other,"On 6 January 2024, Dozo militia killed 16 Fulani civilians including the imam and the chief of the village in Kalala (Macina, Segou). The village was also burned.",16,,1705371872
MLI31711,06-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),Miners (Mali); Labor Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Kidal,Kidal,Kidal,Igouzar,18.4469,1.8206,1,Twitter; Undisclosed Source,Local partner-Other,"On 6 January 2024, FAMa forces and Wagner mercenaries carried out an air-supported operation aboard helicopters in the artisanal mining site of Igouzar (Kidal, Kidal). FAMa and Wagner killed one civilian, arrested 17 civilians and vandalized shops. The arrested were released following the intervention of the Kidal Governor on 9 January.",1,,1705371872
MLI31715,06-Jan-24,2024,1,Political violence,Violence against civilians,Attack,Wagner Group,,8,Civilians (Mali),,7,78,Civilian targeting,466,Western Africa,Mali,Kidal,Kidal,Kidal,Isseedjene,18.3,1.4333,1,Twitter; Undisclosed Source,Local partner-Other,"On 6 January 2024, Wagner mercenaries killed a civilian in the village of Isseedjene (Kidal, Kidal). He was arrested on 26 November 2023.",1,,1705371872
MLI31651,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Tombouctou,Niafunke,Dianke,Dari,15.9178,-3.5957,2,Al Zallaqa; Undisclosed Source,Local partner-Other,"On 5 January 2024, a Wagner vehicle struck an IED between Dari and Soumpi (Niafunke, Tombouctou). Casualties unknown. JNIM claimed to have targeted two vehicles of the Malian army and Wagner mercenaries between Niafunke and Tonka.",0,,1704766911
MLI31672,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Kidal,Kidal,Kidal,Amasrakad,18.4979,1.4362,1,FAMAMali; Twitter; Undisclosed Source,Local partner-Other,"On 5 January 2024, the Malian air force carried out drone strike against civilian encampment in Amasrakad (Kidal, Kidal). Four civilians were killed and several injured.",4,,1704766911
MLI31673,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bandiagara,Timiri,Orossagou,14.018,-3.9073,1,Le Pays Dogon,Subnational,"On 5 January 2024, an explosion of an IED likely planted by JNIM militants killed five civilians at the entrance of the village of Orossagou (Bandiagara, Mopti).",5,,1704766911
MLI31674,05-Jan-24,2024,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,,4,24,,466,Western Africa,Mali,Mopti,Bankass,Bankass,Sogou-Toum,14.1555,-3.4921,1,Le Pays Dogon; Whatsapp,New media-Subnational,"On 5 January 2024, JNIM militants attacked the village of Sogou-Toum (Bankass, Mopti). Two persons were killed. JNIM claimed responsibility, said it killed two Dozo [Dan Na Ambassagou] militiamen, and displayed two weapons, ammo, and a motorcycle said captured.",2,,1704766911
MLI31675,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Mopti,Socoura,Baima,14.537,-3.9633,1,Le Pays Dogon,Subnational,"On 5 January 2024, a woman was killed by the explosion of an IED likely planted by JNIM militants in the village of Baima (Mopti, Mopti).",1,,1704766911
MLI31676,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,2,Al Zallaqa; Undisclosed Source,Local partner-Other,"On 5 January 2024, a FAMa convoy struck an IED between Goundam and Tonka (Goundam, Tombouctou). Casualties unknown. JNIM claimed responsibility and said it targeted a truck of the Malian army and Wagner mercenaries.",0,,1704766911
MLI31677,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Nebkit,16.7127,-3.1804,2,Al Zallaqa,New media,"On 5 January 2024, JNIM claimed to have targeted a truck of the Malian army and Wagner mercenaries with a landmine near Nebkit Elilk [Nebkit] (Tombouctou, Tombouctou). Casualties unknown.",0,,1704766911
MLI31686,05-Jan-24,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,Civilians (Mali),Bambara Ethnic Group (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Gao,Bourem,Tarkint,Almoustarat,17.37,0.09,2,Undisclosed Source,Local partner-Other,"On 5 January 2024, the Malian air force carried out a drone strike against civilian vehicle in the area of Almoustarat (Bourem, Gao). Three civilians were killed.",3,,1705371871
MLI31722,05-Jan-24,2024,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Mali (2021-),Wagner Group,1,Civilians (Mali),,7,17,,466,Western Africa,Mali,Gao,Bourem,Tarkint,Almoustarat,17.37,0.09,1,Undisclosed Source,Local partner-Other,"Property destruction: On 5 January 2024, FAMa forces and Wagner mercenaries destroyed a water tower, looted houses, and seized a vehicle and two motorcycles in the village of Almoustarat (Bourem, Gao).",0,,1705371872
MLI31671,05-Jan-24,2024,1,Political violence,Battles,Armed clash,Islamic State (Sahel),,2,CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme),CMFPR2: Coordination of Patriotic Movements and Forces for Resistance (CMA),3,23,,466,Western Africa,Mali,Gao,Gao,Gabero,Kobe,16.0484,0.1113,1,Twitter; Undisclosed Source,Local partner-Other,"On 5 January 2024, IS Sahel militants attacked a post of CMFPR1 and CMFPR2 militia in the village of Kobe (Gao, Gao). Eight militiamen were killed and three were injured. IS Sahel claimed reponsibility and displayed AK rifles and ammunition said captured, and a motorcycle set ablaze and corpses of militiamen killed.",8,,1705371872
MLI31665,04-Jan-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Islamic State (Sahel),,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Fafa,15.3217,0.7464,1,Studio Tamani; Twitter; Undisclosed Source,Local partner-Other,"On 4 January 2024, IS Sahel militants abducted two young men in the village of Fafa Haoussa (Ansongo, Gao).",0,,1704766911
MLI31666,04-Jan-24,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Mali (2021-),,1,Civilians (Mali),,7,17,Civilian targeting,466,Western Africa,Mali,Kidal,Kidal,Kidal,Djounhane,18.3925,1.1244,1,Al Zallaqa; Facebook; FAMAMali; Twitter; Undisclosed Source; Whatsapp,Local partner-Other,"On 4 January 2024, overnight the Malian air force carried out airstrikes against civilians in the village of Djounhane (Kidal, Kidal). At least three civilians were killed and another seriously injured.",3,,1704766911
MLI31667,04-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Mopti,Bandiagara,Lowol Gueou,Kargue,14.7947,-3.8127,2,Undisclosed Source,Local partner-Other,"On 4 January 2024, a civilian cart hit an IED likely planted by JNIM militants in the area of Kargue (Bandiagara, Mopti). Casualties unknown.",0,,1704766911
MLI31668,04-Jan-24,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Dozo Communal Militia (Mali),,4,Civilians (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),7,47,Civilian targeting,466,Western Africa,Mali,Segou,Macina,Matomo,Matomo,13.8456,-4.966,2,Undisclosed Source,Local partner-Other,"On 4 January 2024, Dozo militiamen abducted three Fulani civilians from a transport vehicle between Matomo and Ke-Macina (Macina, Segou).",0,,1704766911
MLI31669,04-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Wagner Group,1,12,,466,Western Africa,Mali,Tombouctou,Goundam,Tonka,Tonka,16.1289,-3.7478,2,Al Zallaqa; Undisclosed Source; Whatsapp,Local partner-Other,"On 4 January 2024, a FAMa and Wagner vehicle struck an IED between Tonka and Goundam (Goundam, Tombouctou). Casualties unknown. JNIM claimed responsibility.",0,,1704766911
MLI31670,04-Jan-24,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Wagner Group,,8,28,,466,Western Africa,Mali,Tombouctou,Niafunke,Dianke,Sambani,15.7504,-4.5478,2,Undisclosed Source,Local partner-Other,"On 4 January 2024, a Wagner vehicle struck an IED likely planted by JNIM militants near the village of Sambani (Niafunke, Tombouctou). Casualties unknown.",0,,1704766911
